# R,G,B per-pixel gain multiplier
1.017008,1.003113,1.003330
1.018500,1.003905,1.005999
1.019295,1.001577,1.002442
1.017351,1.001887,1.003775
1.015422,1.000267,0.999785
1.016553,0.999635,1.001150
1.015937,0.998960,1.002235
1.014773,1.001509,1.001399
1.018778,1.001594,1.003763
1.014823,1.001272,0.997437
1.017713,1.002268,1.001253
1.014881,1.001543,1.000230
1.019269,0.995549,1.001330
1.014270,0.996888,1.001436
1.013594,0.999889,1.002286
1.012637,0.999121,1.003299
1.015448,1.000785,0.998480
1.013911,0.997262,1.000422
1.012241,1.007506,1.002366
1.008826,1.005299,1.003612
1.013400,1.005752,1.004648
1.013161,1.004631,1.007203
1.013086,1.004391,1.007794
1.016888,1.002278,1.011369
1.012238,1.001182,1.015890
1.014470,1.001379,1.014958
1.013995,1.002330,1.015699
1.011391,1.000837,1.016770
1.012124,1.002605,1.015687
1.011039,1.002125,1.013287
1.014482,1.000503,1.014516
1.011899,1.006523,1.009732
1.013143,1.004685,1.007612
1.012466,1.002076,1.002991
1.012820,1.001170,0.999812
1.012192,0.997100,0.995465
1.013018,0.997793,0.992375
1.010293,0.996712,0.994852
1.012126,0.998071,0.995155
1.008507,0.993805,0.996203
1.012744,0.996537,0.995398
1.012004,0.994818,0.996573
1.008285,0.994296,0.994952
1.009406,0.994155,0.997251
1.008934,0.994381,0.994876
1.010973,0.993532,0.993910
1.009497,0.996263,0.995304
1.007696,0.992249,0.994754
1.009556,0.996587,0.995177
1.012282,0.993763,0.995094
1.012398,0.995779,0.994117
1.011720,0.998589,0.993203
1.011672,0.994080,0.992678
1.007044,0.993497,0.992559
1.012317,0.993740,0.994493
1.008823,0.992678,0.992022
1.009593,0.991823,0.992730
1.007311,0.992884,0.990335
1.009058,0.994809,0.991951
1.006927,0.995681,0.993311
1.006971,0.993183,0.991585
1.005957,0.992802,0.991510
1.006726,0.990601,0.989862
1.006744,0.995207,0.987682
1.010178,0.993273,0.990449
1.010337,0.990130,0.990129
1.010720,0.991102,0.991282
1.008489,0.990313,0.991002
1.007577,0.996381,0.990876
1.007459,0.991777,0.987308
1.006778,0.986392,0.989886
1.009615,0.992187,0.989708
1.006945,0.995095,0.990449
1.005995,0.992245,0.987857
1.003721,0.989021,0.987775
1.009286,0.989142,0.988012
1.006592,0.989010,0.991937
1.005898,0.990688,0.986679
1.005971,0.989346,0.988789
1.005548,0.988747,0.991491
1.006417,0.992475,0.990313
1.000580,0.989810,0.988414
1.006317,0.990803,0.989023
1.002861,0.988295,0.989762
1.005465,0.989748,0.987458
1.008067,0.988855,0.989272
1.007834,0.991749,0.989689
1.006177,0.989563,0.988055
1.008655,0.988740,0.990606
1.005642,0.988056,0.988790
1.005985,0.990639,0.986918
1.007482,0.988685,0.986902
1.008274,0.990714,0.989182
1.009430,0.989269,0.986313
1.008992,0.989727,0.989895
1.010103,0.987361,0.988568
1.008943,0.986674,0.986626
1.006141,0.990171,0.987738
1.007259,0.988487,0.986986
1.004358,0.988737,0.989776
1.007114,0.986243,0.986888
1.004583,0.989114,0.988405
1.005150,0.987235,0.986473
1.007121,0.985692,0.987836
1.005740,0.987224,0.983744
1.006073,0.986188,0.985687
1.007423,0.984374,0.988173
1.007497,0.986474,0.986912
1.006605,0.986475,0.987134
1.002875,0.982786,0.986128
1.005823,0.983577,0.987259
1.003127,0.980904,0.987012
1.012247,0.985058,0.989100
1.004952,0.985483,0.986119
1.005528,0.984597,0.987991
1.002222,0.984449,0.985544
1.006528,0.984865,0.984842
1.004901,0.983429,0.984993
1.005991,0.984071,0.985074
1.004899,0.983170,0.983717
1.007661,0.986186,0.985936
1.008288,0.982973,0.985925
1.007200,0.982949,0.985503
1.002029,0.980689,0.985868
1.004310,0.983325,0.986990
1.005757,0.982928,0.983994
1.003970,0.981734,0.985620
1.005293,0.979805,0.983356
1.006446,0.982247,0.984878
1.002298,0.981343,0.984850
1.002962,0.977521,0.984276
1.002387,0.983492,0.984741
1.002131,0.981266,0.984091
1.001849,0.978739,0.984038
1.003951,0.982972,0.986753
0.999919,0.982013,0.985605
1.000528,0.979871,0.984143
0.999276,0.985408,0.985061
1.003188,0.982427,0.983326
1.003248,0.982971,0.985906
1.005031,0.982002,0.986653
1.003625,0.983213,0.983605
1.005424,0.981936,0.986263
1.004883,0.980238,0.985804
1.006903,0.983004,0.983590
1.001425,0.983065,0.985907
1.000688,0.978861,0.986482
1.001830,0.981256,0.984719
1.001328,0.982656,0.985838
1.000780,0.978337,0.984305
1.005019,0.980298,0.985410
1.001227,0.978359,0.982625
1.003104,0.981059,0.981302
1.000837,0.982124,0.981624
1.001400,0.978492,0.984109
1.002224,0.979076,0.982917
1.003815,0.980342,0.985457
1.002400,0.980296,0.982641
1.000774,0.978384,0.982192
1.000586,0.980888,0.982040
1.000225,0.980250,0.983220
1.002856,0.978466,0.982382
1.001196,0.978406,0.980783
1.001838,0.978046,0.980088
1.001741,0.977492,0.983607
1.000676,0.978969,0.982175
0.999920,0.979537,0.982480
0.998287,0.979666,0.982047
0.999245,0.976742,0.981656
0.998946,0.980234,0.983582
0.999134,0.981312,0.982013
1.000991,0.977799,0.984200
1.003192,0.978877,0.981913
1.001003,0.975239,0.982348
1.003496,0.976760,0.981043
1.000009,0.974941,0.980361
1.000875,0.975387,0.981927
0.999920,0.977967,0.978867
0.998751,0.976664,0.980623
0.999373,0.975969,0.980599
1.002481,0.975406,0.982656
0.998557,0.976698,0.981444
1.000702,0.980221,0.979988
0.996592,0.976745,0.981786
0.998106,0.977694,0.979522
1.001295,0.977068,0.978801
0.998132,0.979175,0.980608
0.999087,0.976908,0.980675
1.000246,0.977123,0.978041
0.998052,0.978176,0.978968
0.998622,0.974403,0.979561
0.997960,0.979482,0.980085
0.999328,0.976757,0.979583
1.001112,0.978411,0.978120
1.002902,0.973129,0.978577
0.997811,0.976159,0.979722
0.998488,0.975696,0.979234
0.997142,0.977069,0.978598
1.002643,0.977550,0.978991
0.997328,0.976533,0.978582
0.999957,0.973629,0.974580
0.994392,0.972609,0.976579
0.997911,0.974961,0.973709
0.997767,0.976378,0.977426
0.997279,0.977534,0.979969
0.997651,0.973879,0.980959
0.996824,0.974939,0.984032
0.999086,0.972540,0.989110
0.995132,0.973748,0.996063
0.997050,0.973394,1.008164
0.995501,0.974547,1.013300
0.994532,0.971826,1.017740
0.998996,0.970311,1.021474
0.997552,0.972683,1.019684
0.999549,0.973094,1.016157
0.995233,0.973101,1.011618
0.995924,0.970688,1.007735
0.996825,0.972219,0.998828
0.997395,0.972809,0.996337
0.996451,0.969679,0.989690
0.995350,0.972513,0.983378
0.997614,0.969421,0.981900
0.996562,0.972996,0.976951
0.997204,0.972917,0.972233
0.997755,0.972933,0.973501
0.994843,0.971861,0.973565
0.995435,0.972162,0.972736
0.999721,0.974856,0.972935
0.996329,0.970262,0.975320
0.999187,0.972682,0.975910
0.995849,0.972669,0.974159
0.990156,0.970212,0.976776
0.995658,0.975260,0.973119
0.996829,0.973231,0.974022
0.995731,0.974716,0.974552
0.994790,0.971716,0.972348
0.995545,0.971147,0.974895
0.993942,0.972111,0.974994
0.993501,0.973010,0.974422
0.996328,0.970662,0.974148
0.992601,0.971459,0.972120
0.992273,0.972335,0.972844
0.998059,0.970740,0.971696
0.991180,0.968865,0.967925
0.993721,0.968859,0.970898
0.991338,0.971259,0.969093
0.993054,0.969984,0.972883
0.996205,0.971436,0.971384
0.996125,0.971567,0.971778
0.992458,0.965448,0.971720
0.993242,0.968818,0.971945
0.995588,0.967518,0.972935
0.992272,0.970216,0.968899
0.991890,0.967679,0.971821
0.990720,0.967687,0.970073
0.996240,0.971252,0.969240
0.992365,0.970696,0.968844
0.994293,0.968852,0.970174
0.995016,0.969506,0.971599
0.992795,0.966103,0.971497
0.991649,0.968722,0.971986
0.994008,0.965790,0.969513
0.993944,0.966780,0.969358
0.991873,0.965641,0.971377
0.993334,0.965214,0.968760
0.994181,0.966152,0.971785
0.991437,0.963763,0.969341
0.992049,0.968477,0.968684
0.992417,0.967485,0.968011
0.992298,0.966375,0.965342
0.994746,0.966368,0.967703
0.991459,0.964703,0.969036
0.994406,0.965979,0.968335
0.990421,0.966113,0.968055
0.991698,0.966548,0.964778
0.991446,0.966659,0.966466
0.990493,0.965742,0.967118
0.992082,0.964963,0.965687
0.992320,0.964481,0.968154
0.992615,0.963050,0.965026
0.992508,0.965718,0.969435
0.991986,0.964569,0.968144
0.992584,0.966097,0.967097
0.992434,0.964458,0.966217
0.988650,0.965634,0.964969
0.988595,0.966361,0.964323
0.987902,0.960891,0.963354
0.991319,0.962398,0.966550
0.992624,0.964810,0.964172
0.993977,0.966413,0.966206
0.991740,0.962996,0.965703
0.991176,0.964271,0.963951
0.991068,0.964003,0.967114
0.991283,0.960601,0.964317
0.992776,0.964667,0.963834
0.992440,0.962629,0.965733
