# R,G,B per-pixel gain multiplier
0.997616,0.968950,0.981385
0.996510,0.972695,0.976545
0.997180,0.972475,0.971772
0.997607,0.972645,0.973115
0.994607,0.971505,0.973063
0.995223,0.971814,0.972297
0.999539,0.974428,0.972455
0.996150,0.969936,0.974882
0.999133,0.972325,0.975416
0.995707,0.972430,0.973715
0.990071,0.969878,0.976426
0.995571,0.975003,0.972790
0.996750,0.972892,0.973598
0.995619,0.974309,0.974174
0.994728,0.971344,0.971970
0.995366,0.970752,0.974629
0.993863,0.971743,0.974600
0.993348,0.972771,0.974071
0.996159,0.970274,0.973783
0.992541,0.971082,0.971810
0.992099,0.972017,0.972404
0.997958,0.970440,0.971163
0.991049,0.968524,0.967449
0.993499,0.968501,0.970309
0.991180,0.970832,0.968599
0.992933,0.969639,0.972358
0.996016,0.970977,0.970856
0.996008,0.971213,0.971341
0.992301,0.964994,0.971216
0.993103,0.968468,0.971408
0.995468,0.967062,0.972491
0.992116,0.969906,0.968337
0.991662,0.967440,0.971248
0.990634,0.967221,0.969588
0.996014,0.970900,0.968652
0.992135,0.970253,0.968242
0.994065,0.968454,0.969614
0.994797,0.969061,0.971128
0.992573,0.965645,0.970823
0.991434,0.968137,0.971357
0.993854,0.965412,0.968885
0.993657,0.966367,0.968911
0.991667,0.965232,0.970666
0.993102,0.964831,0.967969
0.993913,0.965782,0.971108
0.991214,0.963329,0.968644
0.991932,0.968128,0.968048
0.992227,0.967125,0.967296
0.992126,0.965865,0.964681
0.994526,0.965848,0.967109
0.991294,0.964207,0.968526
0.994192,0.965525,0.967765
0.990135,0.965583,0.967475
0.991543,0.966091,0.964130
0.991257,0.966166,0.965833
0.990234,0.965315,0.966593
0.991854,0.964487,0.965074
0.992204,0.964066,0.967494
0.992337,0.962468,0.964238
0.992235,0.965312,0.968787
0.991804,0.964230,0.967484
0.992375,0.965636,0.966470
0.992213,0.964095,0.965562
0.988500,0.965317,0.964418
0.988417,0.965903,0.963620
0.987782,0.960416,0.962723
0.991138,0.961906,0.965972
0.992392,0.964460,0.963558
0.993741,0.965901,0.965613
0.991591,0.962479,0.965112
0.990956,0.963891,0.963271
0.990864,0.963570,0.966522
0.991058,0.960066,0.963714
0.992616,0.964156,0.963117
0.992219,0.962142,0.965132
0.989444,0.964401,0.965716
0.987476,0.961970,0.964989
0.984280,0.961039,0.965546
0.987290,0.960930,0.963429
0.991723,0.958478,0.964006
0.987050,0.958880,0.965864
0.989027,0.961660,0.962293
0.989064,0.960690,0.965222
0.990017,0.964504,0.965651
0.985988,0.964356,0.962622
0.986043,0.961220,0.963761
0.990252,0.961373,0.963401
0.986716,0.962963,0.963215
0.987086,0.959996,0.963036
0.984780,0.957945,0.964315
