# R,G,B per-pixel dark offset
934.21,641.28,585.94
933.87,639.88,583.06
937.88,640.01,603.04
934.09,642.19,585.95
934.22,638.39,584.91
933.16,640.92,585.07
933.06,639.45,584.01
932.98,648.45,585.11
935.92,641.08,587.15
936.67,654.95,583.06
934.68,639.39,585.70
933.47,640.88,585.31
933.88,640.29,586.83
934.36,639.40,584.41
936.14,641.46,583.70
934.72,646.94,608.00
936.45,642.84,583.31
944.99,640.24,584.22
936.16,640.68,587.80
932.01,641.93,584.84
937.29,644.20,584.29
934.39,641.50,584.69
939.75,642.44,585.53
934.45,643.70,590.19
933.66,640.77,584.64
937.61,639.52,586.92
934.35,639.38,586.12
936.90,640.52,601.15
933.85,638.53,584.99
935.79,640.18,584.25
936.72,641.20,585.88
937.14,641.37,585.00
935.45,650.75,586.23
935.65,645.42,585.17
935.71,642.00,585.70
933.49,640.64,586.81
938.43,639.93,585.32
933.28,662.47,585.13
933.77,639.95,583.92
935.40,642.38,584.88
934.43,639.07,586.48
934.28,638.04,584.10
945.17,640.49,584.20
932.85,649.41,583.89
934.68,644.46,589.04
932.89,645.13,586.22
931.58,650.91,583.37
931.01,638.72,583.70
932.44,638.63,585.64
932.20,638.82,583.79
931.54,636.33,583.49
951.72,637.85,582.70
927.94,637.79,582.83
929.81,637.98,580.90
931.86,640.32,582.61
930.06,640.93,582.46
929.41,637.37,581.63
931.40,636.97,583.79
929.26,637.99,582.84
932.40,635.64,582.41
927.99,637.71,581.24
930.08,636.46,583.16
928.35,637.07,584.08
929.61,636.43,586.22
928.32,638.14,595.07
929.49,637.88,586.05
930.12,638.61,579.90
928.67,634.94,583.09
929.11,638.01,582.42
927.03,636.26,583.02
929.59,642.54,584.25
929.89,636.24,583.73
929.69,638.00,580.12
933.01,637.02,582.77
933.07,638.85,583.59
933.70,638.58,583.37
931.15,636.43,582.92
941.88,638.73,581.92
933.06,638.69,585.10
931.43,651.34,581.57
931.45,641.70,582.92
934.98,640.11,583.09
